date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-23,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-24,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-25,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-26,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-27,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-28,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-29,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-30,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-01-31,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-01,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-02,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-03,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-04,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-05,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-06,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-07,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-08,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-09,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-10,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-11,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-12,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-13,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-14,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-15,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-16,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-17,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-18,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-19,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-20,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-21,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-22,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-23,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-24,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-25,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-26,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-27,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-28,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-02-29,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-01,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-02,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-03,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-04,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-05,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-06,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-07,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-08,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-09,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-10,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-11,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-12,Iowa,Carroll,19027.0,0,0,0.0,0.0,0,0,0,623.1414141414141,28380
2020-03-13,Iowa,Carroll,19027.0,1,0,1.0,0.0,0,0,0,623.1414141414141,28380
2020-03-14,Iowa,Carroll,19027.0,1,0,0.0,0.0,0,0,0,623.1414141414141,28380
